Date,Open,High,Low,Close,Adj Close,Volume
2022-04-22,110500.000000,112000.000000,110500.000000,110500.000000,109745.179688,2360834
2022-04-25,109000.000000,109500.000000,108000.000000,108000.000000,107262.265625,2282343
2022-04-26,109500.000000,111000.000000,108000.000000,111000.000000,110241.765625,2969516
2022-04-27,108000.000000,109500.000000,107500.000000,108500.000000,107758.843750,3261290
2022-04-28,109500.000000,110000.000000,108000.000000,109500.000000,108752.015625,2804966
2022-04-29,110000.000000,112500.000000,109500.000000,112500.000000,111731.515625,3752415
2022-05-02,110000.000000,111500.000000,110000.000000,110500.000000,109745.179688,2175384
2022-05-03,111000.000000,112000.000000,109500.000000,110000.000000,109248.601563,2676115
2022-05-04,110500.000000,111000.000000,108500.000000,109500.000000,108752.015625,2491890
2022-05-06,108000.000000,108500.000000,106500.000000,107500.000000,106765.671875,2566813
2022-05-10,107000.000000,111000.000000,107000.000000,110000.000000,109248.601563,4141923
2022-05-11,110500.000000,112500.000000,108000.000000,110500.000000,109745.179688,3658168
2022-05-12,109500.000000,111500.000000,108500.000000,109000.000000,108255.429688,4132948
2022-05-13,109000.000000,112500.000000,109000.000000,112500.000000,111731.515625,4003349
2022-05-16,113500.000000,114000.000000,110000.000000,110500.000000,109745.179688,3930044
2022-05-17,111000.000000,113000.000000,110500.000000,112500.000000,111731.515625,2056143
2022-05-18,114000.000000,115000.000000,113000.000000,113500.000000,112724.687500,3570113
2022-05-19,110500.000000,112500.000000,110000.000000,111000.000000,110241.765625,3680049
2022-05-20,111500.000000,113000.000000,111000.000000,112500.000000,111731.515625,2398978
2022-05-23,113000.000000,113500.000000,111000.000000,113000.000000,112228.109375,3160028
2022-05-24,111500.000000,112000.000000,108500.000000,108500.000000,107758.843750,4491835
2022-05-25,109500.000000,110000.000000,107000.000000,108000.000000,107262.265625,4151560
2022-05-26,107500.000000,108500.000000,101500.000000,103000.000000,102296.414063,8523001
2022-05-27,105500.000000,107000.000000,105000.000000,106000.000000,105275.921875,3686487
2022-05-30,108000.000000,108000.000000,106000.000000,107000.000000,106269.093750,2054526
2022-05-31,106500.000000,108000.000000,105500.000000,108000.000000,107262.265625,4024509
2022-06-02,106000.000000,107500.000000,106000.000000,107000.000000,106269.093750,3097583
2022-06-03,108000.000000,108500.000000,107000.000000,107000.000000,106269.093750,1638006
2022-06-07,105500.000000,106000.000000,103500.000000,104000.000000,103289.578125,3174521
2022-06-08,104500.000000,107500.000000,104500.000000,106000.000000,105275.921875,3075530
2022-06-09,105500.000000,107000.000000,104500.000000,105500.000000,104779.335938,4640744
2022-06-10,104000.000000,104500.000000,102500.000000,103500.000000,102793.000000,3480289
2022-06-13,100000.000000,101000.000000,99000.000000,99000.000000,98323.734375,4133447
2022-06-14,96900.000000,99600.000000,96800.000000,99100.000000,98423.054688,3242550
2022-06-15,98500.000000,98900.000000,96700.000000,97900.000000,97231.250000,2578500
2022-06-16,99900.000000,101500.000000,97100.000000,97400.000000,96734.671875,3810703
2022-06-17,95100.000000,96400.000000,95000.000000,96400.000000,95741.500000,3965464
2022-06-20,96700.000000,96800.000000,93100.000000,94500.000000,93854.476563,2386222
2022-06-21,94700.000000,95900.000000,93900.000000,95200.000000,94549.695313,2707302
2022-06-22,95700.000000,95700.000000,91700.000000,92200.000000,91570.187500,3509830
2022-06-23,92100.000000,93000.000000,89700.000000,90200.000000,89583.851563,3983116
2022-06-24,90500.000000,92000.000000,90500.000000,91600.000000,90974.289063,3045970
2022-06-27,92700.000000,96100.000000,92600.000000,95000.000000,94351.062500,3408749
2022-06-28,94500.000000,95300.000000,93700.000000,95300.000000,94649.015625,2022966
2022-06-29,93300.000000,94900.000000,92900.000000,94000.000000,93652.710938,2529973
2022-06-30,91500.000000,93100.000000,91000.000000,91000.000000,90663.789063,3098854
2022-07-01,91000.000000,92500.000000,87100.000000,87500.000000,87176.726563,4959176
2022-07-04,87500.000000,89600.000000,86300.000000,89100.000000,88770.812500,4331728
2022-07-05,90400.000000,93400.000000,90400.000000,92500.000000,92158.250000,3560085
2022-07-06,92800.000000,93600.000000,90900.000000,92100.000000,91759.726563,3981326
2022-07-07,91300.000000,95200.000000,91300.000000,93900.000000,93553.078125,3330794
2022-07-08,95900.000000,96500.000000,94500.000000,94800.000000,94449.750000,2814478
2022-07-11,95000.000000,95700.000000,93500.000000,93700.000000,93353.820313,1885425
2022-07-12,94000.000000,94000.000000,91700.000000,93300.000000,92955.296875,2385688
2022-07-13,94600.000000,96400.000000,93800.000000,94000.000000,93652.710938,2721816
2022-07-14,92800.000000,95500.000000,92300.000000,94000.000000,93652.710938,2550307
2022-07-15,95900.000000,99000.000000,95500.000000,98700.000000,98335.343750,4457208
2022-07-18,101000.000000,103500.000000,100000.000000,101000.000000,100626.843750,4564780
2022-07-19,100000.000000,100500.000000,98700.000000,100000.000000,99630.539063,2709084
2022-07-20,103000.000000,104500.000000,101000.000000,102000.000000,101623.148438,3981053
2022-07-21,102000.000000,103000.000000,100500.000000,102500.000000,102121.304688,2143984
2022-07-22,102500.000000,102500.000000,100000.000000,100000.000000,99630.539063,3126556
2022-07-25,99100.000000,101500.000000,98900.000000,100000.000000,99630.539063,2185108
2022-07-26,100500.000000,101000.000000,99100.000000,100500.000000,100128.695313,1636970
2022-07-27,101000.000000,101500.000000,98600.000000,100000.000000,99630.539063,3159499
2022-07-28,101000.000000,101500.000000,98900.000000,99400.000000,99032.757813,3359717
2022-07-29,99900.000000,100000.000000,97400.000000,97900.000000,97538.296875,3899079
2022-08-01,97200.000000,98100.000000,96500.000000,97100.000000,96741.257813,2007646
2022-08-02,97200.000000,97200.000000,96200.000000,96500.000000,96143.468750,1916851
2022-08-03,96900.000000,97500.000000,96100.000000,97500.000000,97139.773438,1703330
2022-08-04,98000.000000,98100.000000,97100.000000,97500.000000,97139.773438,1960526
2022-08-05,98100.000000,98700.000000,97400.000000,98500.000000,98136.085938,2052852
2022-08-08,97700.000000,97700.000000,95800.000000,96300.000000,95944.210938,3206548
2022-08-09,96000.000000,96100.000000,94500.000000,95100.000000,94748.640625,3152955
2022-08-10,91800.000000,93000.000000,91800.000000,91800.000000,91460.835938,4356568
2022-08-11,93500.000000,94400.000000,92600.000000,93300.000000,92955.296875,5206962
2022-08-12,92800.000000,94400.000000,92600.000000,93300.000000,92955.296875,1910127
2022-08-16,94500.000000,97600.000000,94400.000000,96700.000000,96342.734375,4267280
2022-08-17,96800.000000,97600.000000,95900.000000,97100.000000,96741.257813,1764674
2022-08-18,95900.000000,96400.000000,95300.000000,95700.000000,95346.429688,1889587
2022-08-19,97000.000000,97500.000000,95900.000000,96400.000000,96043.843750,1890839
2022-08-22,95200.000000,95600.000000,94000.000000,95200.000000,94848.273438,2293601
2022-08-23,94100.000000,95400.000000,93600.000000,93600.000000,93254.187500,1932822
